Rank,Feature,Category,Importance,Std Dev,Description,Trading Significance
1,vol_regime,Volatility,0.0121,0.0027,Volatility Regime Indicator,Identifies high volatility periods that often precede market reversals or trend changes
2,trend_quality,Trend,0.0120,0.0044,Trend Quality Measure,Measures how clean and reliable the current trend is relative to market noise
3,us_economic_regime_new,Regime,0.0109,0.0053,Economic Regime Composite,Captures broad economic environment affecting risk asset performance
4,vol_skewness_8w,Volatility,0.0101,0.0041,Volatility Skewness,Measures asymmetry in volatility distribution - indicates tail risk buildup
5,skewness_12w,Higher_Order,0.0100,0.0031,Return Skewness (12-week),Captures asymmetry in return distribution - negative skew indicates tail risk
6,kurtosis_12w,Higher_Order,0.0084,0.0024,Return Kurtosis (12-week),Measures frequency of extreme returns relative to normal distribution
7,tsx_tnx_corr_8w,Cross_Asset,0.0073,0.0031,Stock-Bond Correlation,Measures relationship between equity and bond markets
8,volatility_12w,Volatility,0.0073,0.0025,12-week Volatility,Medium-term volatility measure capturing market uncertainty
9,vol_kurtosis_8w,Volatility,0.0071,0.0023,Volatility Kurtosis,Measures clustering and extreme events in volatility itself
10,ma_trend_8_26,Trend,0.0068,0.0030,Moving Average Trend Signal,Classic trend-following signal used by technical analysts
11,risk_on_regime,Regime,0.0065,0.0017,Advanced technical indicator,Provides market timing signals
12,momentum_quality,Momentum,0.0060,0.0026,Advanced technical indicator,Provides market timing signals
13,vol_adj_returns_8w,Volatility,0.0060,0.0026,Advanced technical indicator,Provides market timing signals
14,vol_clustering,Volatility,0.0060,0.0017,Advanced technical indicator,Provides market timing signals
15,weekly_ret,Other,0.0057,0.0031,Advanced technical indicator,Provides market timing signals
16,credit_spread_momentum_4w,Momentum,0.0056,0.0033,Advanced technical indicator,Provides market timing signals
17,tsx_credit_corr_8w,Cross_Asset,0.0056,0.0048,Advanced technical indicator,Provides market timing signals
18,volatility_8w,Volatility,0.0052,0.0025,Advanced technical indicator,Provides market timing signals
19,tnx_change,Cross_Asset,0.0051,0.0009,Advanced technical indicator,Provides market timing signals
20,multi_asset_momentum,Momentum,0.0050,0.0011,Advanced technical indicator,Provides market timing signals
